,Composition,Formula,e_above_hull,A_atom,P_atom,R_atom,n_A
56,Sr4 V4 Cr4 C24 N24,Sr4 V4 Cr4 C24 N24,0.4389355085715554,Sr,Cr,V,4.0
57,K4 Cr4 Os4 C24 N24,K4 Cr4 Os4 C24 N24,0.025119948293777842,K,Cr,Os,4.0
58,K4 Fe4 Os4 C24 N24,K4 Fe4 Os4 C24 N24,0.0993908917937798,K,Fe,Os,4.0
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,K4 Mn4 Cr4 C24 N24,K4 Mn4 Cr4 C24 N24,0.2307250894524451,K,Mn,Cr,4.0
64,,,,,,,
65,K4 V4 Co4 C24 N24,K4 V4 Co4 C24 N24,0.3638912662857816,K,Co,V,4.0
66,Na4 Mn4 Fe4 C24 N24,Na4 Mn4 Fe4 C24 N24,0.1901598515635552,Na,Mn,Fe,4.0
67,,,,,,,
68,Na4 Mn4 Os4 C24 N24,Na4 Mn4 Os4 C24 N24,0.11705639640489095,Na,Mn,Os,4.0
69,Ca4 Zn4 Cr4 C24 N24,Ca4 Zn4 Cr4 C24 N24,0.5331443703691114,Ca,Zn,Cr,4.0
70,K4 Cr4 Fe4 C24 N24,K4 Cr4 Fe4 C24 N24,0.09221554845244384,K,Cr,Fe,4.0
71,Li4 Mn4 V4 C24 N24,Li4 Mn4 V4 C24 N24,0.28938558260733593,Li,V,Mn,4.0
72,Mg4 Zn4 Os4 C24 N24,Mg4 Zn4 Os4 C24 N24,0.4867180564882237,Mg,Zn,Os,4.0
73,Mg4 V4 Fe4 C24 N24,Mg4 V4 Fe4 C24 N24,0.3764012306906661,Mg,V,Fe,4.0
74,Sr4 V4 Fe4 C24 N24,Sr4 V4 Fe4 C24 N24,0.2825439945715562,Sr,V,Fe,4.0
75,Na4 V4 Zn4 C24 N24,Na4 V4 Zn4 C24 N24,0.4698987834722237,Na,Zn,V,4.0
76,,,,,,,
77,Sr4 V4 Co4 C24 N24,Sr4 V4 Co4 C24 N24,0.4075575917382235,Sr,V,Co,4.0
78,Mg4 V4 Cr4 C24 N24,Mg4 V4 Cr4 C24 N24,0.5682652244048914,Mg,Cr,V,4.0
79,,,,,,,
80,Mg4 Fe4 Os4 C24 N24,Mg4 Fe4 Os4 C24 N24,0.3836765414128909,Mg,Fe,Os,4.0
81,,,,,,,
82,Sr4 Mn4 Cr4 C24 N24,Sr4 Mn4 Cr4 C24 N24,0.2438182295715592,Sr,Cr,Mn,4.0
83,Mg4 Mn4 Fe4 C24 N24,Mg4 Mn4 Fe4 C24 N24,0.43439062640488935,Mg,Mn,Fe,4.0
84,Li4 Mn8 C24 N24,Li4 Mn8 C24 N24,0.2744810997740021,Li,Mn,Mn,4.0
85,Ca4 Cr4 Co4 C24 N24,Ca4 Cr4 Co4 C24 N24,0.512853549960445,Ca,Co,Cr,4.0
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,Mg4 Mn4 V4 C24 N24,Mg4 Mn4 V4 C24 N24,0.6048260770715572,Mg,Mn,V,4.0
90,Na4 Cr4 Fe4 C24 N24,Na4 Cr4 Fe4 C24 N24,0.13993607039688882,Na,Cr,Fe,4.0
91,K4 Fe4 Co4 C24 N24,K4 Fe4 Co4 C24 N24,0.17434748061911165,K,Co,Fe,4.0
92,,,,,,,
93,Li4 V4 Os4 C24 N24,Li4 V4 Os4 C24 N24,0.17789649644866934,Li,V,Os,4.0
94,K4 Cr4 Fe4 C24 N24,K4 Cr4 Fe4 C24 N24,0.2318674186191121,K,Fe,Cr,4.0
95,,,,,,,
96,Mg4 V4 Co4 C24 N24,Mg4 V4 Co4 C24 N24,0.4723125060715558,Mg,V,Co,4.0
97,Li4 Mn4 Co4 C24 N24,Li4 Mn4 Co4 C24 N24,0.3517873667740039,Li,Co,Mn,4.0
98,,,,,,,
99,K4 Zn4 Fe4 C24 N24,K4 Zn4 Fe4 C24 N24,0.26002363769444514,K,Zn,Fe,4.0
100,,,,,,,
101,K4 V4 Zn4 C24 N24,K4 V4 Zn4 C24 N24,0.4237809698611139,K,Zn,V,4.0
102,Mg4 Zn4 Cr4 C24 N24,Mg4 Zn4 Cr4 C24 N24,0.596209968146888,Mg,Zn,Cr,4.0
103,,,,,,,
104,Li2 Zn4 Co4 C24 N24,Li2 Zn4 Co4 C24 N24,0.3278229947189635,Li,Zn,Co,2.0
105,Mg2 Cr4 Os4 C24 N24,Mg2 Cr4 Os4 C24 N24,0.2041278326480445,Mg,Cr,Os,2.0
106,Sr2 Fe4 Co4 C24 N24,Sr2 Fe4 Co4 C24 N24,0.22810726574321905,Sr,Co,Fe,2.0
107,Mg2 V4 Co4 C24 N24,Mg2 V4 Co4 C24 N24,0.5407168897087349,Mg,Co,V,2.0
108,Na2 Mn8 C24 N24,Na2 Mn8 C24 N24,0.2273471273770138,Na,Mn,Mn,2.0
109,,,,,,,
110,Li2 Mn4 Cr4 C24 N24,Li2 Mn4 Cr4 C24 N24,0.3004014741237899,Li,Mn,Cr,2.0
111,Sr2 Co4 Os4 C24 N24,Sr2 Co4 Os4 C24 N24,0.16265580799287171,Sr,Co,Os,2.0
112,K2 Mn4 V4 C24 N24,K2 Mn4 V4 C24 N24,0.3327418599919554,K,Mn,V,2.0
113,K2 Cr4 Fe4 C24 N24,K2 Cr4 Fe4 C24 N24,0.2648799029229867,K,Fe,Cr,2.0
114,Na2 Mn4 V4 C24 N24,Na2 Mn4 V4 C24 N24,0.3582865541011486,Na,Mn,V,2.0
115,Mg2 Mn4 Co4 C24 N24,Mg2 Mn4 Co4 C24 N24,0.3377482300535615,Mg,Mn,Co,2.0
116,Ca2 Mn4 Os4 C24 N24,Ca2 Mn4 Os4 C24 N24,0.18051470276298787,Ca,Mn,Os,2.0
117,Li2 Zn4 Os4 C24 N24,Li2 Zn4 Os4 C24 N24,0.3181779336927564,Li,Zn,Os,2.0
118,,,,,,,
119,K2 Mn8 C24 N24,K2 Mn8 C24 N24,0.20306153102644053,K,Mn,Mn,2.0
120,Mg2 V8 C24 N24,Mg2 V8 C24 N24,0.5227407314328758,Mg,V,V,2.0
121,,,,,,,
122,K2 Fe4 Os4 C24 N24,K2 Fe4 Os4 C24 N24,0.12761132258643748,K,Fe,Os,2.0
123,Sr2 V4 Cr4 C24 N24,Sr2 V4 Cr4 C24 N24,0.3114396798811505,Sr,V,Cr,2.0
124,Ca2 Mn8 C24 N24,Ca2 Mn8 C24 N24,0.2933130680995397,Ca,Mn,Mn,2.0
125,Li2 Zn4 Cr4 C24 N24,Li2 Zn4 Cr4 C24 N24,0.4274773164431016,Li,Zn,Cr,2.0
126,,,,,,,
127,Ca2 Fe8 C24 N24,Ca2 Fe8 C24 N24,0.2735384043064375,Ca,Fe,Fe,2.0
128,,,,,,,
129,Li2 Cr4 Co4 C24 N24,Li2 Cr4 Co4 C24 N24,0.3480312706755129,Li,Co,Cr,2.0
130,Mg2 Fe4 Co4 C24 N24,Mg2 Fe4 Co4 C24 N24,0.3217451860880445,Mg,Fe,Co,2.0
131,Sr2 V4 Fe4 C24 N24,Sr2 V4 Fe4 C24 N24,0.22106508953632087,Sr,V,Fe,2.0
132,Sr2 Cr4 Co4 C24 N24,Sr2 Cr4 Co4 C24 N24,0.3669062852259781,Sr,Co,Cr,2.0
133,K2 Cr4 Os4 C24 N24,K2 Cr4 Os4 C24 N24,0.05204998448298959,K,Cr,Os,2.0
134,Ca2 Cr8 C24 N24,Ca2 Cr8 C24 N24,0.3319159694788514,Ca,Cr,Cr,2.0
135,Sr2 Mn4 V4 C24 N24,Sr2 Mn4 V4 C24 N24,0.2578140955708026,Sr,V,Mn,2.0
136,,,,,,,
137,Na2 V4 Co4 C24 N24,Na2 V4 Co4 C24 N24,0.2063453880666657,Na,V,Co,2.0
138,Mg2 Cr4 Co4 C24 N24,Mg2 Cr4 Co4 C24 N24,0.28992462815701003,Mg,Cr,Co,2.0
139,,,,,,,
140,Mg2 Cr4 Fe4 C24 N24,Mg2 Cr4 Fe4 C24 N24,0.2777652695363209,Mg,Cr,Fe,2.0
141,Sr2 Fe8 C24 N24,Sr2 Fe8 C24 N24,0.2276769472949418,Sr,Fe,Fe,2.0
142,Mg2 Mn4 Fe4 C24 N24,Mg2 Mn4 Fe4 C24 N24,0.30710363815701136,Mg,Mn,Fe,2.0
143,Sr2 Mn4 Fe4 C24 N24,Sr2 Mn4 Fe4 C24 N24,0.20197146298459856,Sr,Mn,Fe,2.0
144,Li2 V4 Cr4 C24 N24,Li2 V4 Cr4 C24 N24,0.35339581636517003,Li,Cr,V,2.0
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,Mg2 Co4 Os4 C24 N24,Mg2 Co4 Os4 C24 N24,0.2911072779928752,Mg,Co,Os,2.0
149,Mg2 V4 Cr4 C24 N24,Mg2 V4 Cr4 C24 N24,0.4536617126397697,Mg,Cr,V,2.0
150,Mg2 V4 Cr4 C24 N24,Mg2 V4 Cr4 C24 N24,0.4185599288466655,Mg,V,Cr,2.0
151,Na2 V4 Fe4 C24 N24,Na2 V4 Fe4 C24 N24,0.3850135237563226,Na,Fe,V,2.0
152,K2 Mn4 Zn4 C24 N24,K2 Mn4 Zn4 C24 N24,0.32911054386298666,K,Zn,Mn,2.0
153,Ca2 Cr4 Co4 C24 N24,Ca2 Cr4 Co4 C24 N24,0.3823237291462061,Ca,Co,Cr,2.0
154,Sr2 V4 Cr4 C24 N24,Sr2 V4 Cr4 C24 N24,0.35006211712252977,Sr,Cr,V,2.0
155,Sr2 Mn4 Cr4 C24 N24,Sr2 Mn4 Cr4 C24 N24,0.2958455555708053,Sr,Mn,Cr,2.0
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,Li2 Fe4 Co4 C24 N24,Li2 Fe4 Co4 C24 N24,0.2253093103306867,Li,Fe,Co,2.0
161,,,,,,,
162,,,,,,,
163,,,,,,,
164,K2 V4 Cr4 C24 N24,K2 V4 Cr4 C24 N24,0.30129373154367656,K,Cr,V,2.0
165,Na2 V4 Co4 C24 N24,Na2 V4 Co4 C24 N24,0.4142873306528738,Na,Co,V,2.0
166,,,,,,,
167,Sr2 Mn4 Cr4 C24 N24,Sr2 Mn4 Cr4 C24 N24,0.22082712488115064,Sr,Cr,Mn,2.0
168,,,,,,,
169,Li2 Cr8 C24 N24,Li2 Cr8 C24 N24,0.26763373015827696,Li,Cr,Cr,2.0
170,K2 Fe8 C24 N24,K2 Fe8 C24 N24,0.20576344464712906,K,Fe,Fe,2.0
171,K2 Mn4 Fe4 C24 N24,K2 Mn4 Fe4 C24 N24,0.1600846386126431,K,Mn,Fe,2.0
172,K2 Co4 Os4 C24 N24,K2 Co4 Os4 C24 N24,0.1437073406898861,K,Co,Os,2.0
173,,,,,,,
174,Li2 Mn4 Co4 C24 N24,Li2 Mn4 Co4 C24 N24,0.2358819968824104,Li,Mn,Co,2.0
175,Li2 Mn4 Fe4 C24 N24,Li2 Mn4 Fe4 C24 N24,0.20833847808930628,Li,Mn,Fe,2.0
176,Sr2 V4 Co4 C24 N24,Sr2 V4 Co4 C24 N24,0.43933751643287344,Sr,Co,V,2.0
177,Ca2 Cr4 Fe4 C24 N24,Ca2 Cr4 Fe4 C24 N24,0.20555469499609025,Ca,Cr,Fe,2.0
178,,,,,,,
179,Mg2 Mn4 V4 C24 N24,Mg2 Mn4 V4 C24 N24,0.3579224265970105,Mg,V,Mn,2.0
180,Li2 Cr4 Os4 C24 N24,Li2 Cr4 Os4 C24 N24,0.10273790413206464,Li,Cr,Os,2.0
181,K2 Mn4 Os4 C24 N24,K2 Mn4 Os4 C24 N24,0.08228765413816141,K,Mn,Os,2.0
182,Ca2 V4 Cr4 C24 N24,Ca2 V4 Cr4 C24 N24,0.3994392074098858,Ca,Cr,V,2.0
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,Mg2 Mn4 Os4 C24 N24,Mg2 Mn4 Os4 C24 N24,0.2321098331652873,Mg,Mn,Os,2.0
187,Sr2 V8 C24 N24,Sr2 V8 C24 N24,0.4170778676397706,Sr,V,V,2.0
188,Sr2 Fe4 Co4 C24 N24,Sr2 Fe4 Co4 C24 N24,0.20842404574321804,Sr,Fe,Co,2.0
189,Na2 Mn4 Fe4 C24 N24,Na2 Mn4 Fe4 C24 N24,0.18378237789425175,Na,Mn,Fe,2.0
190,,,,,,,
191,,,,,,,
192,Mg2 Fe4 Co4 C24 N24,Mg2 Fe4 Co4 C24 N24,0.3570524940190793,Mg,Co,Fe,2.0
193,Mg2 Fe8 C24 N24,Mg2 Fe8 C24 N24,0.3476269014328732,Mg,Fe,Fe,2.0
194,Na2 Zn4 Co4 C24 N24,Na2 Zn4 Co4 C24 N24,0.3031470229721833,Na,Zn,Co,2.0
195,Ca2 Cr4 Os4 C24 N24,Ca2 Cr4 Os4 C24 N24,0.13642798207333404,Ca,Cr,Os,2.0
196,Sr2 Zn4 Os4 C24 N24,Sr2 Zn4 Os4 C24 N24,0.2774111099673551,Sr,Zn,Os,2.0
197,Na2 Cr4 Fe4 C24 N24,Na2 Cr4 Fe4 C24 N24,0.15466698858390693,Na,Cr,Fe,2.0
198,Sr2 V4 Fe4 C24 N24,Sr2 V4 Fe4 C24 N24,0.4017809916052872,Sr,Fe,V,2.0
199,Na2 Mn4 Co4 C24 N24,Na2 Mn4 Co4 C24 N24,0.3069566009977009,Na,Co,Mn,2.0
200,,,,,,,
201,Mg2 Mn4 Zn4 C24 N24,Mg2 Mn4 Zn4 C24 N24,0.4810659882349437,Mg,Zn,Mn,2.0
202,,,,,,,
203,,,,,,,
204,Ca2 Fe4 Co4 C24 N24,Ca2 Fe4 Co4 C24 N24,0.2537019562029883,Ca,Fe,Co,2.0
205,Li2 Fe8 C24 N24,Li2 Fe8 C24 N24,0.25528163033069085,Li,Fe,Fe,2.0
206,K2 V4 Co4 C24 N24,K2 V4 Co4 C24 N24,0.3879635627505742,K,Co,V,2.0
207,K2 Cr4 Fe4 C24 N24,K2 Cr4 Fe4 C24 N24,0.13055525757816078,K,Cr,Fe,2.0
208,Na2 V4 Fe4 C24 N24,Na2 V4 Fe4 C24 N24,0.20460153237701206,Na,V,Fe,2.0
209,Sr2 Mn4 Co4 C24 N24,Sr2 Mn4 Co4 C24 N24,0.2458501778121853,Sr,Mn,Co,2.0
210,K2 Fe4 Co4 C24 N24,K2 Fe4 Co4 C24 N24,0.17784943499195371,K,Fe,Co,2.0
211,,,,,,,
212,Li2 V4 Fe4 C24 N24,Li2 V4 Fe4 C24 N24,0.20548492477034586,Li,V,Fe,2.0
213,Mg2 Mn4 V4 C24 N24,Mg2 Mn4 V4 C24 N24,0.484042784881149,Mg,Mn,V,2.0
214,K2 V4 Co4 C24 N24,K2 V4 Co4 C24 N24,0.1819866136126436,K,V,Co,2.0
215,,,,,,,
216,,,,,,,
217,Mg2 V4 Co4 C24 N24,Mg2 V4 Co4 C24 N24,0.33286571195011483,Mg,V,Co,2.0
218,Sr2 Fe4 Os4 C24 N24,Sr2 Fe4 Os4 C24 N24,0.15813771385494135,Sr,Fe,Os,2.0
219,,,,,,,
220,Li2 Mn4 Fe4 C24 N24,Li2 Mn4 Fe4 C24 N24,0.28108370964103097,Li,Fe,Mn,2.0
221,Na2 Fe8 C24 N24,Na2 Fe8 C24 N24,0.2294062928942555,Na,Fe,Fe,2.0
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,Na2 V8 C24 N24,Na2 V8 C24 N24,0.3963147423770117,Na,V,V,2.0
226,Sr2 V4 Os4 C24 N24,Sr2 V4 Os4 C24 N24,0.1499217614411492,Sr,V,Os,2.0
227,,,,,,,
228,,,,,,,
229,Li2 Mn4 Os4 C24 N24,Li2 Mn4 Os4 C24 N24,0.13264919344240944,Li,Mn,Os,2.0
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,K2 Cr4 Co4 C24 N24,K2 Cr4 Co4 C24 N24,0.14616255481953822,K,Cr,Co,2.0
235,Ca2 Zn4 Cr4 C24 N24,Ca2 Zn4 Cr4 C24 N24,0.4220448019705732,Ca,Zn,Cr,2.0
236,Ca2 Mn4 Zn4 C24 N24,Ca2 Mn4 Zn4 C24 N24,0.4071169349016088,Ca,Zn,Mn,2.0
237,,,,,,,
238,Li2 Co4 Os4 C24 N24,Li2 Co4 Os4 C24 N24,0.19452344706309788,Li,Co,Os,2.0
239,Na2 V4 Cr4 C24 N24,Na2 V4 Cr4 C24 N24,0.3281960530666659,Na,Cr,V,2.0
240,,,,,,,
241,Mg2 Mn4 Cr4 C24 N24,Mg2 Mn4 Cr4 C24 N24,0.3353987133294236,Mg,Cr,Mn,2.0
242,,,,,,,
243,,,,,,,
244,Sr2 Mn4 Fe4 C24 N24,Sr2 Mn4 Fe4 C24 N24,0.2671353790190807,Sr,Fe,Mn,2.0
245,Na2 Cr4 Co4 C24 N24,Na2 Cr4 Co4 C24 N24,0.17058711082528433,Na,Cr,Co,2.0
246,,,,,,,
247,,,,,,,
248,Ca2 Mn4 V4 C24 N24,Ca2 Mn4 V4 C24 N24,0.4346847348236782,Ca,Mn,V,2.0
249,,,,,,,
250,,,,,,,
251,Sr2 Co8 C24 N24,Sr2 Co8 C24 N24,0.26183067005356264,Sr,Co,Co,2.0
252,,,,,,,
253,K2 Mn4 V4 C24 N24,K2 Mn4 V4 C24 N24,0.2231724855091972,K,V,Mn,2.0
254,,,,,,,
255,Li2 Mn8 C24 N24,Li2 Mn8 C24 N24,0.2522105342962089,Li,Mn,Mn,2.0
256,,,,,,,
257,Mg2 Fe4 Os4 C24 N24,Mg2 Fe4 Os4 C24 N24,0.2746275357514936,Mg,Fe,Os,2.0
258,Li2 V4 Zn4 C24 N24,Li2 V4 Zn4 C24 N24,0.5266698628224118,Li,Zn,V,2.0
259,Sr2 Mn4 Zn4 C24 N24,Sr2 Mn4 Zn4 C24 N24,0.35807087357977,Sr,Zn,Mn,2.0
260,Ca2 Mn4 Cr4 C24 N24,Ca2 Mn4 Cr4 C24 N24,0.26989619706505685,Ca,Cr,Mn,2.0
261,K2 V4 Fe4 C24 N24,K2 V4 Fe4 C24 N24,0.35984089275057585,K,Fe,V,2.0
262,Ca2 Mn4 Co4 C24 N24,Ca2 Mn4 Co4 C24 N24,0.3658977824098848,Ca,Co,Mn,2.0
263,,,,,,,
264,Mg2 V4 Os4 C24 N24,Mg2 V4 Os4 C24 N24,0.20921223814068848,Mg,V,Os,2.0
265,,,,,,,
266,Li2 Mn4 Cr4 C24 N24,Li2 Mn4 Cr4 C24 N24,0.23488285067551476,Li,Cr,Mn,2.0
267,Mg2 V4 Fe4 C24 N24,Mg2 V4 Fe4 C24 N24,0.3314632659156338,Mg,V,Fe,2.0
268,Ca2 Zn4 Os4 C24 N24,Ca2 Zn4 Os4 C24 N24,0.32496626042712684,Ca,Zn,Os,2.0
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,Sr2 V4 Zn4 C24 N24,Sr2 V4 Zn4 C24 N24,0.5026719168556308,Sr,Zn,V,2.0
274,Ca2 Cr4 Co4 C24 N24,Ca2 Cr4 Co4 C24 N24,0.2821505532719541,Ca,Cr,Co,2.0
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,Li2 Zn4 Fe4 C24 N24,Li2 Zn4 Fe4 C24 N24,0.37981419575344605,Li,Zn,Fe,2.0
279,,,,,,,
280,,,,,,,
281,K2 Mn4 Cr4 C24 N24,K2 Mn4 Cr4 C24 N24,0.25061373878505755,K,Mn,Cr,2.0
282,Sr2 Mn4 V4 C24 N24,Sr2 Mn4 V4 C24 N24,0.3863995398811486,Sr,Mn,V,2.0
283,,,,,,,
284,K2 V4 Cr4 C24 N24,K2 V4 Cr4 C24 N24,0.2541653624057467,K,V,Cr,2.0
285,Ca2 Mn4 Co4 C24 N24,Ca2 Mn4 Co4 C24 N24,0.2908132339616092,Ca,Mn,Co,2.0
286,,,,,,,
287,Sr2 Mn4 Os4 C24 N24,Sr2 Mn4 Os4 C24 N24,0.13193479454459478,Sr,Mn,Os,2.0
288,,,,,,,
289,,,,,,,
290,Na2 Zn4 Os4 C24 N24,Na2 Zn4 Os4 C24 N24,0.29245002194597713,Na,Zn,Os,2.0
291,Sr2 Cr4 Os4 C24 N24,Sr2 Cr4 Os4 C24 N24,0.08716707144114544,Sr,Cr,Os,2.0
292,Na2 Fe4 Os4 C24 N24,Na2 Fe4 Os4 C24 N24,0.13415078287379245,Na,Fe,Os,2.0
293,Na2 Mn4 Cr4 C24 N24,Na2 Mn4 Cr4 C24 N24,0.19949414121126446,Na,Mn,Cr,2.0
294,Li2 V4 Co4 C24 N24,Li2 V4 Co4 C24 N24,0.23188662739965335,Li,V,Co,2.0
295,,,,,,,
296,,,,,,,
297,Mg2 Mn4 Fe4 C24 N24,Mg2 Mn4 Fe4 C24 N24,0.3807340843639064,Mg,Fe,Mn,2.0
298,Sr2 Cr4 Fe4 C24 N24,Sr2 Cr4 Fe4 C24 N24,0.2963312322949445,Sr,Fe,Cr,2.0
299,,,,,,,
300,K2 Mn4 Cr4 C24 N24,K2 Mn4 Cr4 C24 N24,0.18308700792298715,K,Cr,Mn,2.0
301,Na2 Fe4 Co4 C24 N24,Na2 Fe4 Co4 C24 N24,0.23999513289425245,Na,Co,Fe,2.0
302,,,,,,,
303,,,,,,,
304,K2 V8 C24 N24,K2 V8 C24 N24,0.36811167740574813,K,V,V,2.0
305,K2 Mn4 Fe4 C24 N24,K2 Mn4 Fe4 C24 N24,0.2323708286126429,K,Fe,Mn,2.0
306,Li2 V4 Cr4 C24 N24,Li2 V4 Cr4 C24 N24,0.3039431739513763,Li,V,Cr,2.0
307,,,,,,,
308,Mg2 Zn4 Os4 C24 N24,Mg2 Zn4 Os4 C24 N24,0.4098636272087353,Mg,Zn,Os,2.0
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,Ca2 V4 Co4 C24 N24,Ca2 V4 Co4 C24 N24,0.4873309951685041,Ca,Co,V,2.0
313,Mg2 V4 Fe4 C24 N24,Mg2 V4 Fe4 C24 N24,0.5107114750535633,Mg,Fe,V,2.0
314,,,,,,,
315,,,,,,,
316,Na2 Mn4 Cr4 C24 N24,Na2 Mn4 Cr4 C24 N24,0.20780143823907693,Na,Cr,Mn,2.0
317,K2 Zn4 Fe4 C24 N24,K2 Zn4 Fe4 C24 N24,0.3295536188629873,K,Zn,Fe,2.0
